end_lat,Conteo_geographic_pos,end_lng,member_casual
41.83,10,-87.64,member
41.83,41,-87.63,casual
41.83,43,-87.63,member
41.83,37,-87.62,casual
41.83,17,-87.62,member
41.83,59,-87.61,casual
41.83,40,-87.61,member
41.83,33,-87.6,casual
41.83,13,-87.6,member
41.83010465,39,-87.67029831,casual
41.83010465,30,-87.67029831,member
41.830105,2,-87.670298,casual
41.830661,80,-87.647172,casual
41.830661,146,-87.647172,member
41.83068856,31,-87.65621066,casual
41.83068856,36,-87.65621066,member
41.830689,3,-87.656211,casual
41.830707,3,-87.641255,casual
41.83070705,56,-87.64125533,casual
41.83070705,79,-87.64125533,member
41.830777,64,-87.632504,casual
41.830777,67,-87.632504,member
41.831036,6,-87.626798,casual
41.83103631,75,-87.62679756,casual
41.83103631,195,-87.62679756,member
41.831274,27,-87.608799,casual
41.83127424,78,-87.60879919,casual
41.83127424,75,-87.60879919,member
41.831379,72,-87.618034,casual
41.831379,106,-87.618034,member
41.83452989,75,-87.63182298,casual
41.83452989,142,-87.63182298,member
41.83453,3,-87.631823,casual
41.834734,85,-87.625813,casual
41.834734,445,-87.625813,member
41.8349,62,-87.61793,casual
41.8349,330,-87.61793,member
41.836208,107,-87.613533,casual
41.836208,183,-87.613533,member
41.8378,104,-87.65114,casual
41.8378,148,-87.65114,member
41.838198,112,-87.645143,casual
41.838198,349,-87.645143,member
41.838464,52,-87.635406,casual
41.838464,224,-87.635406,member
41.838556,503,-87.608218,casual
41.838556,300,-87.608218,member
41.838842,87,-87.621857,casual
41.838842,144,-87.621857,member
41.83920868,41,-87.66560986,casual
41.83920868,59,-87.66560986,member
41.839209,6,-87.66561,casual
41.84,3,-87.74,casual
41.84,31,-87.73,casual
41.84,14,-87.73,member
41.84,41,-87.72,casual
41.84,31,-87.72,member
41.84,12,-87.71,casual
41.84,3,-87.71,member
41.84,10,-87.7,casual
41.84,4,-87.7,member
41.84,1,-87.69,casual
41.84,7,-87.69,member
41.84,2,-87.68,casual
41.84,7,-87.68,member
41.84,17,-87.67,casual
